business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,GoodForKids,RestaurantsGoodForGroups,BikeParking,RestaurantsTakeOut,OutdoorSeating,RestaurantsReservations,RestaurantsPriceRange2,Caters,BusinessAcceptsCreditCards,RestaurantsDelivery,HasTV,Alcohol,RestaurantsTableService,RestaurantsAttire,NoiseLevel,BYOBCorkage,ByAppointmentOnly,WheelchairAccessible,HappyHour,DogsAllowed,BusinessAcceptsBitcoin,DriveThru,GoodForDancing,Corkage,BYOB,CoatCheck,RestaurantsCounterService,DietaryRestrictions
_TTsA0J7UfNkVyjp45G79Q,Red Robin Gourmet Burgers and Brews,"5043 Tuttle Crossing Blvd, Ste 205",Dublin,OH,43016,40.073398,-83.132336,3,50,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
P-5Ze1LN_KqrWBhha-kJTA,Fresh Start Cafe and Bakery,24 N Sandusky St,Delaware,OH,43015,40.2994699,-83.0674219,4.5,40,0,0,1,0,0,1,2,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
RYzWC7G9p53Qd_LcYWqOkA,Smashburger,109 N Hamilton Rd,Franklin,OH,43230,40.0199732,-82.8668356,3,113,0,0,0,0,0,1,1,1,0,1,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
ZnZRIs5GmA9VGa_RwFsHaQ,The Bogey Bar & Grill,6013 Glick Rd,Powell,OH,43065,40.153431,-83.1289626,3,94,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
PGp6WaZz8OdhyTc6cUbTUw,Taranto's Pizzeria,1282 E Powell Rd,Lewis Center,OH,43035,40.1561536,-83.0009796,4,93,0,0,0,0,0,1,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0
OFwU816bVkCB7jMXbn1T_w,CBC Restaurant,525 Short St,Columbus,OH,43215,39.950839,-83.003797,4,343,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
yfU-tGTDMdF6nKISzb25-g,Steak ’n Shake,6075 Emerald Pkwy,Dublin,OH,43016,40.07617504,-83.1411534,1.5,42,0,0,1,0,1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
dynb8-X4bGTl_BSX9ZxlPA,Mama Mimi's Take N Bake Pizza,2923 N High St,Columbus,OH,43202,40.0217904,-83.0136254,4.5,46,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASEgGo5kk8AKnMP4s5MRg,New Taj Mahal Indian Restaurant,2361 N High St,Columbus,OH,43202,40.0104353,-83.0105431,3,142,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
nrmLeChQAbwRFXzsPQ-WGg,C'est Si Bon,11 S High St,Canal Winchester,OH,43110,39.8423327,-82.805668,4.5,10,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uTMksZ_1M8hoZb1l1q7vcQ,12 West,12 W William St,Delaware,OH,43015,40.2990181,-83.0683415,4.5,157,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,1,0,1,1,1,0,1,1,0,0,0
M3fWBfeqejKJYB7CWH8qSA,Bob Evans,5205 New Albany Rd,New Albany,OH,43054,40.0895569,-82.8237941,3,26,0,0,0,0,1,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Fxdy2WZ6LAu_C5SPJpqApw,Pattycake Bakery,3009 N High St,Columbus,OH,43202,40.023558,-83.014092,4.5,302,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dEu0f7-l4uotpJSlC_Jenw,Buckeye Hall of Fame Grill,900 Goodale Blvd,Columbus,OH,43212,39.97502216,-83.02631388,3,100,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
VN4xcfjHWmVCJmKyRw5mww,Pokeworks,1011 W 5th Ave,Columbus,OH,43212,39.9880129,-83.0327965,4.5,56,0,0,0,0,0,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
#NAME?,What the Waffle,695 E Long St,Columbus,OH,43205,39.966998,-82.982509,4.5,16,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a9dNRK9qulD59jwIHbzllA,Loops,1629 Northwest Blvd,Columbus,OH,43212,39.9916187,-83.0407084,4,197,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
MWMaqb-PfiDDm5XVZk-zdQ,China Buffet,1520 North Cassady Ave,Columbus,OH,43219,40.00178967,-82.92955074,2.5,17,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
itIK1BxWCEdlIF7D9HpS8Q,Taco Bell,620 Georgesville Rd,Columbus,OH,43228,39.93999218,-83.11172716,4,5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ddXoKyIQnrG9TTC32xLuCw,Overtime Sports Pub,4337 Cosgray Rd,Hilliard,OH,43026,40.03911666,-83.18061237,4,15,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
u6X-4q4wh5SM0E1UxedC9A,Ange's Pizza,1018 N Hamilton Rd,Gahanna,OH,43230,40.04441682,-82.86344485,3.5,28,1,1,1,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MyuVJzBb0WYWUU2bOBBDrg,Tucci's,35 N High St,Dublin,OH,43017,40.1002297,-83.114502,4,252,1,0,0,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
qyFX-kRZzQ3lIixkx8LFIw,Hoggy's,7509 Sawmill Rd,Dublin,OH,43016,40.1180568,-83.0903995,2.5,12,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0gn3CVA33_jKAxR5RzLPWg,Dawghouse Pizza & Bar,2031 Lockbourne Rd,Columbus,OH,43207,39.923732,-82.965665,3.5,28,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3ejTwwDZ-2zbWBFaly46wg,Bruegger's Bagels,1630 Neil Ave,Columbus,OH,43201,39.99463174,-83.01424026,4,51,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
A14e9zdLakJ0X53OdwpS-w,Pies and Pints,1026 N High St,Columbus,OH,43201,39.983202,-83.0047248,4,86,0,0,0,0,1,1,2,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FZ2T63p2enpFEpsYxcz_TA,Yogi's Hoagies,475 S State St,Westerville,OH,43081,40.1134853,-82.927487,3.5,45,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5CSb10ZhZB1CJ6OgC6mPSg,Polaris Grill,1835 Polaris Pkwy,Columbus,OH,43240,40.1412118,-82.9685959,3.5,203,0,0,1,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
GmY4I9KMZlm1B91vkApE5A,Pigskin Brewing Co.,"81 Mill St, Ste 150",Gahanna,OH,43230,40.0199944,-82.8802974,3,138,1,0,1,0,0,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
88u86cBxPFGzaa2fVm5dqw,Tim Hortons,772 S State St,Westerville,OH,43081,40.1075423,-82.9243983,2,16,0,1,0,0,1,1,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
uYlM_RcEJFEy6T9aWOOuyA,Romeo's Pizza,3189 Hilliard-Rome Rd,Hilliard,OH,43026,40.0171115,-83.1573746,3,31,0,1,1,0,1,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
81FXyOGVCVljnWr_bXs4Vg,Applebee's,4600 E Broad St,Whitehall,OH,43213,39.97605686,-82.87839779,1.5,20,0,0,1,0,1,1,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
dxo24ZhvpoiZxV6Ud_cxlg,Philly Station,14950 E Broad St,Reynoldsburg,OH,43068,39.9885497,-82.7661206,3,10,0,1,0,0,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
_4jW61c-4RuVMHPAzwxFKQ,Wendy's,4003 Powell Road,Powell,OH,43065,40.1580434,-83.0947241,1.5,14,0,0,1,0,1,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LptUcswBlIpNZ91f6pLITA,Shi Chi Japanese Restaurant,6377 Sawmill Rd,Dublin,OH,43017,40.09708752,-83.09343351,3.5,102,0,0,0,0,1,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
oFnXdnxLm1AlIj6wVtHHCA,Jason's Deli,225 W Bridge St,Dublin,OH,43017,40.0978002,-83.12149071,4,109,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
UvkgHqv1BG1Zrsy6IxecEQ,Arena Sandwich Co. Cheesesteaks,111 W Nationwide Blvd,Columbus,OH,43215,39.96842272,-83.00470635,4,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ijxjqHVPBmeNY41sFiBvtA,Rise Pies,Mall Rd,Berkshire Township,OH,43074,40.26100214,-82.92568987,3.5,31,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
o2GtrUnR-aEonmERNAFLdw,Classics Sports Bar,543-547 S High St,Columbus,OH,43215,39.950898,-82.9987232,3,27,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NOH5KIJ9Q77RTisyanWGpg,Brenen's Cafe,"460 W 12th Ave, Ste 120, The Ohio State University",Columbus,OH,43210,39.99682267,-83.01949749,4,19,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
zdXd2X8oH4r7QCD0mF9tig,Be Fit Cafe,10259 Sawmill Pkwy,Powell,OH,43065,40.14714135,-83.09232352,3.5,90,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9becSOs6Am7fpcc9saQqEQ,Matt the Miller's Tavern,1400 Grandview Ave,Columbus,OH,43212,39.986214,-83.044426,3.5,335,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
4KZm9EcnygkFmEWpPSNqIw,Hyatt Regency Columbus,350 N High St,Columbus,OH,43215,39.9696212,-83.0013208,3,182,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7n_K8BXY47iA7edoQ0o40g,Wendy's,6480 Riverside Dr,Dublin,OH,43017,40.0991958,-83.1090068,2.5,10,0,0,0,0,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
QLQILQrtJmPGxdi4vbdXQg,Average Joe's Taphouse,9890 Brewster Ln,Powell,OH,43065,40.155035,-83.094745,2.5,35,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,0,1,0,0
XtFhLvKV46H7a054X2_aFQ,Aladdin's Eatery,2400 E Main St,Columbus,OH,43209,39.9573134,-82.9346968,3,33,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fgkQ_SLtVx2yGCq0x3SKKg,Chick-fil-A,1924 N High St,Columbus,OH,43201,40.0016093,-83.008134,4.5,7,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
yAPLp2E8AotHOr19J8NfsA,Olivina Taproom,44 S Sandusky St,Delaware,OH,43015,40.29748074,-83.068099,5,9,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0
uyvvzHJ9tlXZ-DEbCJ81Zg,Wing's Restaurant,2801 E Main St,Columbus,OH,43209,39.956456,-82.9236418,3,74,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
ibcZ5jIK2L_hchE5bw6ClA,McDonald's,625 W Coshocton St,Johnstown,OH,43031,40.14706095,-82.70082481,2.5,14,0,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ATMyviLNbbsJGcYG_DuVyw,Shane's Rib Shack,1522 Gemini Pl,Columbus,OH,43240,40.1489612,-82.9772881,3.5,10,0,0,0,0,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2wHpbGC_lZJhrcKgIPfR1Q,Heirloom,1871 N High St,Columbus,OH,43210,40.0005012,-83.0088313,4,56,0,0,0,0,1,1,2,0,0,1,1,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
pYDcpUeGAJHzUsE3l8vEtw,The Bar Next Door,5571 N Hamilton Rd,Columbus,OH,43230,40.0701959,-82.8626701,3.5,5,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
zP-w41c1EaDYDXPWn6Icjw,Cosi,2212 E Main St,Columbus,OH,43209,39.9577822,-82.9397744,3.5,23,0,0,0,0,0,1,1,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ewFMsE_X1PcS09yuO6eklA,J. Gilbert's Wood Fired Steaks & Seafood Columbus,1 E Campus View Blvd,Columbus,OH,43235,40.11785505,-83.01487945,4,340,0,0,1,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
#NAME?,Genjigo,4210 Buckeye Pkwy,Grove City,OH,43123,39.8758665,-83.0372659,2.5,42,0,0,0,0,0,1,2,0,0,0,1,1,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0
43S0htWaqRErwiAc04GceQ,Pitabilities,689 Cross Pointe Rd,Gahanna,OH,43230,39.99884,-82.83287,4,83,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
aUoUZozadNfQJVYKdTHmJA,Press Pub On 5th - Grandview,1505 W 5th Ave,Columbus,OH,43212,39.98878695,-83.04660178,3.5,103,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0
oBV2jNTuMmWe7d0ASolS3A,Factory On Fourth,697 N 4th St,Columbus,OH,43215,39.9777429,-82.998551,3,23,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
E7O4ToBlxCVWEhODtmBZsQ,Urban Coffee | Subway,7838 Olentangy River Rd,Columbus,OH,43235,40.125243,-83.0367081,3.5,11,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24bxH8U1DRu1biUYaaEv8w,Hounddog's Three Degree Pizza,2657 N High St,Columbus,OH,43202,40.0163941,-83.0121554,4,518,0,0,0,0,0,1,2,1,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0
3uFjkB4yofEbq8iLpDG1dw,Garden Cafe On Broadway,4057 Broadway,Grove City,OH,43123,39.8818626,-83.0939371,3.5,13,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rZOy9CG5oMQfadSuj_zwAw,Sunny Street Cafe,4733 Reed Rd,Columbus,OH,43220,40.0541477,-83.0669611,3.5,60,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
dJWEzqPtq_g6Nki_cXdHGQ,Cameron's American Bistro,2185 West Dublin-Granville Rd,Worthington,OH,43085,40.0896411,-83.0486603,4,157,1,0,1,0,1,0,3,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
cuQJlMArABjR2Pmhcd-Nqg,Tim Hortons,737 Bethel Rd,Columbus,OH,43214,40.0626977,-83.0393052,3,11,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
UVJdnCSoPkYSIwxEw31mqA,Creno's Pizza,5923 Karric Square Dr,Dublin,OH,43016,40.0732491,-83.1229647,3.5,26,0,1,0,0,1,1,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
xFX9f5NYIZKHp9iX-_7Rxg,Dunkin',5095 W Broad St,Columbus,OH,43228,39.951545,-83.136536,2,30,0,1,1,0,0,1,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
fH8jd2oh3wpmTBNFV8tfqg,Eastern Palace,6078 E Livingston Ave,Columbus,OH,43232,39.9425871,-82.8318749,3.5,40,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
nAZN6PpCa6Pphf1wwCxNAw,Papa John's Pizza,2804 S Hamilton Rd,Columbus,OH,43232,39.9220408,-82.8791409,2,13,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wdpb6x08_P3YZ3dEK19cYA,Waffle House,2160 Brice Rd,Reynoldsburg,OH,43068,39.9368134,-82.8298758,3.5,12,0,0,1,0,1,1,1,1,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
pgfHXhxYwImys-QuLh2AYA,The Crispy Coop,1717 NW Blvd,Columbus,OH,43212,39.9932483,-83.0420531,4,94,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
MNE01ZJ4v3ACm55KFitC0A,Denmark,"463 N High, Fl 2",Columbus,OH,43215,39.9718471,-83.0028524,4,142,1,0,0,0,1,0,2,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0
H-pODaiI0_gvJ6hakT0_2A,First Watch,496 South High St,Columbus,OH,43215,39.951977,-82.998452,4,126,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
c3PcM_DB9Z471jaleGW8Ig,Pulp Juice And Smoothie Bar,3664 Fishinger Blvd,Hilliard,OH,43026,40.028855,-83.115211,4,37,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
HaKhksuFqOkKNY2_AZvPuQ,Chipotle Mexican Grill,8695 Owenfield Dr,Powell,OH,43065,40.1650056,-83.02077878,2.5,41,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
hIlZJbyv5JsFyeylwoZFiA,The Sultan Restaurant,1765 Brice Rd,Reynoldsburg,OH,43068,39.94331741,-82.83029175,2.5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
p75vHtBfMywJmpeFL63Y5Q,Don Pablo's,1803 Olentangy River Rd,Columbus,OH,43212,39.9964033,-83.0256515,2.5,5,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CW_xIw8kclVU4XLuGjQ9kQ,Gallo's Pit BBQ,2234 W Dublin Granville Rd,Columbus,OH,43085,40.0903277,-83.0503139,3.5,41,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sR8Q3kXeNb4so1yc3EBllg,Giuseppe's Ritrovo,2268 E Main St,Columbus,OH,43209,39.95735907,-82.93831036,3.5,158,1,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0
3daMYz7sP4-sokC46h8Nqw,Buca di Beppo Italian Restaurant,343 N Front St,Columbus,OH,43215,39.9693871,-83.0042624,2.5,215,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
YmwVfCuwD3cW7vh57BaH-Q,M I A Hookah Cafe,132 E 5th Ave,Columbus,OH,43201,39.9870629,-83.0017848,4,30,1,0,0,1,0,0,2,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
nCz-NLygotPGZSUJNRDlhw,Rebol,6608 Longshore St,Dublin,OH,43017,40.10254285,-83.10967885,4.5,194,0,0,0,0,0,1,2,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
s2jzN0RU6GJ_-VZjcwW8dQ,Russian Club,2400 W Dublin-Granville Rd,Columbus,OH,43235,40.0904945,-83.0543163,5,8,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NWjoZB068Mg18lYTI3AS2A,Ziggy's,510 E Broad St,Pataskala,OH,43062,40.00656981,-82.66206376,3.5,41,0,0,1,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0
W8oGeE-f6gP1mpa8PaeacQ,Jimmy John's,4860 Sawmill Rd,Columbus,OH,43235,40.067744,-83.0918142,2,10,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
1jTqCP47oMkkJisVZ8k8LQ,Nancy's Home Cooking,3133 N High St,Columbus,OH,43202,40.026128,-83.014733,4,192,0,1,0,0,1,1,1,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0
gTYOsJcseqHnM-5zyp9RgQ,Uptown Deli and Brew,41 N State St,Westerville,OH,43081,40.126955,-82.9322778,4,203,0,0,0,0,0,1,2,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
P2oqV71cwsi-GqFnxEKJqg,Costelos Restaurant,6140 Cleveland Ave,Columbus,OH,43231,40.0986536,-82.9500272,3.5,9,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C6L1mHMwYH5iCaqSa3UBqA,Wendy's,1100 Dublin Road,Columbus,OH,43215,39.9735744,-83.0467516,3,21,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
vMteB_2TSNwaltxnUJVqGQ,Hunan King,3628 Gender Rd,Canal Winchester,OH,43110,39.9072199,-82.8228656,3,15,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
pWbZzz3rh71NFA792W8aFg,Barrel & Boar - Westerville,8 N State St,Westerville,OH,43081,40.12627,-82.93144617,3.5,178,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0
l3x_3hVFfKjigqP8u-Rvrw,Jay’ Crab Boil & Oyster Bar,10705 Blacklick Eastern Rd,Pickerington,OH,43147,39.9281743,-82.7870877,4,20,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
yWEd9qjOoji7qVWfTIcPEQ,Noodles & Company,1528 Gemini Pl,Columbus,OH,43240,40.14889201,-82.97711611,3.5,56,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SrfGTXkBIt-KOXBAiOB-lg,El Vaquero Mexican Restaurant,2195 Riverside Dr,Columbus,OH,43221,39.9997898,-83.0769719,3.5,130,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
y1aNjZlgvhvutt9vDjVCfg,Jacks Downtown Diner,52 E Lynn St,Columbus,OH,43215,39.9632542,-82.99904977,4,43,0,1,0,0,1,1,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
